Date,Median income,Population,Mortgage Rate,Interest Rate,property_type,price,Median income_normalized,Population_normalized,Mortgage Rate_normalized,Interest Rate_normalized
2008-06-01,4784.166666666667,11042464.66666667,6.2,3.25,Composite,318900,-0.5592891376635521,-1.0690957755091937,1.7210452499552193,1.2352991868304863
2008-07-01,4784.166666666667,11082432.66666667,6.37,3.25,Composite,316700,-0.5592891376635521,-1.0067896161207956,1.900794030727461,1.2352991868304863
2008-08-01,4784.166666666667,11082432.66666667,6.25,3.25,Composite,314700,-0.5592891376635521,-1.0067896161207956,1.7739125384176433,1.2352991868304863
2008-09-01,4784.166666666667,11082432.66666667,6.16,3.25,Composite,312900,-0.5592891376635521,-1.0067896161207956,1.6787514191852801,1.2352991868304863
2008-10-01,4784.166666666667,11124326.0,6.46,2.5,Composite,308800,-0.5592891376635521,-0.9414820524704312,1.995955149959824,0.6408766310801295
2008-11-01,4784.166666666667,11124326.0,6.51,2.5,Composite,305600,-0.5592891376635521,-0.9414820524704312,2.0488224384222478,0.6408766310801295
2008-12-01,4784.166666666667,11124326.0,6.17,1.75,Composite,301700,-0.5592891376635521,-0.9414820524704312,1.6893248768777647,0.04645407532977262
2009-01-01,4807.5,11142584.66666667,5.78,1.25,Composite,298600,-0.4541945727980259,-0.9130185968170795,1.2769600268708576,-0.3498276285037986
2009-02-01,4807.5,11142584.66666667,5.28,1.25,Composite,296000,-0.4541945727980259,-0.9130185968170795,0.7482871422466173,-0.3498276285037986
2009-03-01,4807.5,11142584.66666667,5.14,0.75,Composite,294000,-0.4541945727980259,-0.9130185968170795,0.6002587345518293,-0.7461093323373699
2009-04-01,4807.5,11170768.33333333,4.79,0.5,Composite,295300,-0.4541945727980259,-0.8690830476907178,0.2301877153148615,-0.9442501842541555
2009-05-01,4807.5,11170768.33333333,4.62,0.5,Composite,297700,-0.4541945727980259,-0.8690830476907178,0.05043893454261989,-0.9442501842541555
2009-06-01,4807.5,11170768.33333333,4.9,0.5,Composite,301400,-0.4541945727980259,-0.8690830476907178,0.34649574993219473,-0.9442501842541555
2009-07-01,4807.5,11210023.0,5.14,0.5,Composite,305700,-0.4541945727980259,-0.8078889044243056,0.6002587345518293,-0.9442501842541555
2009-08-01,4807.5,11210023.0,5.13,0.5,Composite,310100,-0.4541945727980259,-0.8078889044243056,0.5896852768593448,-0.9442501842541555
2009-09-01,4807.5,11210023.0,4.97,0.5,Composite,314800,-0.4541945727980259,-0.8078889044243056,0.4205099537795877,-0.9442501842541555
2009-10-01,4807.5,11252860.33333333,5.0,0.5,Composite,319500,-0.4541945727980259,-0.74110973813026,0.4522303268570424,-0.9442501842541555
2009-11-01,4807.5,11252860.33333333,5.06,0.5,Composite,323700,-0.4541945727980259,-0.74110973813026,0.5156710730119508,-0.9442501842541555
2009-12-01,4807.5,11252860.33333333,4.83,0.5,Composite,327200,-0.4541945727980259,-0.74110973813026,0.2724815460848008,-0.9442501842541555
2010-01-01,4783.333333333333,11269672.0,4.8,0.5,Composite,329800,-0.5630425149801809,-0.7149020123767036,0.2407611730073461,-0.9442501842541555
2010-02-01,4783.333333333333,11269672.0,4.73,0.5,Composite,331800,-0.5630425149801809,-0.7149020123767036,0.1667469691599531,-0.9442501842541555
2010-03-01,4783.333333333333,11269672.0,4.71,0.5,Composite,333300,-0.5630425149801809,-0.7149020123767036,0.145600053774983,-0.9442501842541555
2010-04-01,4783.333333333333,11296820.33333333,5.15,0.5,Composite,334000,-0.5630425149801809,-0.6725804455283291,0.6108321922443148,-0.9442501842541555
2010-05-01,4783.333333333333,11296820.33333333,5.3,0.5,Composite,333600,-0.5630425149801809,-0.6725804455283291,0.7694340576315865,-0.9442501842541555
2010-06-01,4783.333333333333,11296820.33333333,5.18,0.75,Composite,332400,-0.5630425149801809,-0.6725804455283291,0.6425525653217686,-0.7461093323373699
2010-07-01,4783.333333333333,11335300.66666667,5.02,1.0,Composite,331600,-0.5630425149801809,-0.6125934113513439,0.47337724224201155,-0.5479684804205842
2010-08-01,4783.333333333333,11335300.66666667,4.82,1.0,Composite,331300,-0.5630425149801809,-0.6125934113513439,0.2619080883923162,-0.5479684804205842
2010-09-01,4783.333333333333,11335300.66666667,4.6,1.25,Composite,331500,-0.5630425149801809,-0.6125934113513439,0.02929201915764979,-0.3498276285037986
2010-10-01,4783.333333333333,11377510.33333333,4.52,1.25,Composite,332600,-0.5630425149801809,-0.5467927153179147,-0.055295642382228734,-0.3498276285037986
2010-11-01,4783.333333333333,11377510.33333333,4.45,1.25,Composite,334200,-0.5630425149801809,-0.5467927153179147,-0.12930984622962174,-0.3498276285037986
2010-12-01,4783.333333333333,11377510.33333333,4.5,1.25,Composite,335900,-0.5630425149801809,-0.5467927153179147,-0.0764425577671979,-0.3498276285037986
2011-01-01,4770.0,11388877.66666667,4.55,1.25,Composite,338400,-0.6230965520461954,-0.5290721668169114,-0.023575269304774053,-0.3498276285037986
2011-02-01,4770.0,11388877.66666667,4.68,1.25,Composite,341200,-0.6230965520461954,-0.5290721668169114,0.11387968069752831,-0.3498276285037986
2011-03-01,4770.0,11388877.66666667,4.7,1.25,Composite,343600,-0.6230965520461954,-0.5290721668169114,0.13502659608249842,-0.3498276285037986
2011-04-01,4770.0,11410185.0,4.87,1.25,Composite,346000,-0.6230965520461954,-0.49585614132631384,0.31477537685474005,-0.3498276285037986
2011-05-01,4770.0,11410185.0,4.83,1.25,Composite,348500,-0.6230965520461954,-0.49585614132631384,0.2724815460848008,-0.3498276285037986
2011-06-01,4770.0,11410185.0,4.6,1.25,Composite,351300,-0.6230965520461954,-0.49585614132631384,0.02929201915764979,-0.3498276285037986
2011-07-01,4770.0,11446407.0,4.57,1.25,Composite,353700,-0.6230965520461954,-0.4393896254794725,-0.0024283539198039525,-0.3498276285037986
2011-08-01,4770.0,11446407.0,4.52,1.25,Composite,356100,-0.6230965520461954,-0.4393896254794725,-0.055295642382228734,-0.3498276285037986
2011-09-01,4770.0,11446407.0,4.42,1.25,Composite,357800,-0.6230965520461954,-0.4393896254794725,-0.16103021930707642,-0.3498276285037986
2011-10-01,4770.0,11485904.33333333,4.35,1.25,Composite,359500,-0.6230965520461954,-0.3778171888781124,-0.23504442315447036,-0.3498276285037986
2011-11-01,4770.0,11485904.33333333,4.38,1.25,Composite,361400,-0.6230965520461954,-0.3778171888781124,-0.20332405007701568,-0.3498276285037986
2011-12-01,4770.0,11485904.33333333,4.36,1.25,Composite,363100,-0.6230965520461954,-0.3778171888781124,-0.22447096546198483,-0.3498276285037986
2012-01-01,4835.0,11505344.0,4.31,1.25,Composite,364900,-0.33033312134936826,-0.34751267101905375,-0.27733825392440964,-0.3498276285037986
2012-02-01,4835.0,11505344.0,4.23,1.25,Composite,366200,-0.33033312134936826,-0.34751267101905375,-0.3619259154642872,-0.3498276285037986
2012-03-01,4835.0,11505344.0,4.21,1.25,Composite,367700,-0.33033312134936826,-0.34751267101905375,-0.3830728308492573,-0.3498276285037986
2012-04-01,4835.0,11530730.66666667,4.36,1.25,Composite,369100,-0.33033312134936826,-0.30793736828502505,-0.22447096546198483,-0.3498276285037986
2012-05-01,4835.0,11530730.66666667,4.35,1.25,Composite,369000,-0.33033312134936826,-0.30793736828502505,-0.23504442315447036,-0.3498276285037986
2012-06-01,4835.0,11530730.66666667,4.25,1.25,Composite,368600,-0.33033312134936826,-0.30793736828502505,-0.34077900007931805,-0.3498276285037986
2012-07-01,4835.0,11571131.66666667,4.23,1.25,Composite,368400,-0.33033312134936826,-0.24495620471790464,-0.3619259154642872,-0.3498276285037986
2012-08-01,4835.0,11571131.66666667,4.23,1.25,Composite,367700,-0.33033312134936826,-0.24495620471790464,-0.3619259154642872,-0.3498276285037986
2012-09-01,4835.0,11571131.66666667,4.2,1.25,Composite,367700,-0.33033312134936826,-0.24495620471790464,-0.3936462885417419,-0.3498276285037986
2012-10-01,4835.0,11611657.66666667,4.17,1.25,Composite,367500,-0.33033312134936826,-0.18178017851258488,-0.42536666161919656,-0.3498276285037986
2012-11-01,4835.0,11611657.66666667,4.15,1.25,Composite,367100,-0.33033312134936826,-0.18178017851258488,-0.4465135770041657,-0.3498276285037986
2012-12-01,4835.0,11611657.66666667,4.15,1.25,Composite,368400,-0.33033312134936826,-0.18178017851258488,-0.4465135770041657,-0.3498276285037986
2013-01-01,4894.166666666667,11627264.66666667,4.14,1.25,Composite,368200,-0.06384333186892169,-0.15745040895757265,-0.45708703469665124,-0.3498276285037986
2013-02-01,4894.166666666667,11627264.66666667,4.11,1.25,Composite,369000,-0.06384333186892169,-0.15745040895757265,-0.488807407774105,-0.3498276285037986
2013-03-01,4894.166666666667,11627264.66666667,4.02,1.25,Composite,369600,-0.06384333186892169,-0.15745040895757265,-0.5839685270064691,-0.3498276285037986
2013-04-01,4894.166666666667,11652189.0,4.02,1.25,Composite,370500,-0.06384333186892169,-0.11859583816804012,-0.5839685270064691,-0.3498276285037986
2013-05-01,4894.166666666667,11652189.0,4.02,1.25,Composite,371400,-0.06384333186892169,-0.11859583816804012,-0.5839685270064691,-0.3498276285037986
2013-06-01,4894.166666666667,11652189.0,4.0,1.25,Composite,372600,-0.06384333186892169,-0.11859583816804012,-0.6051154423914382,-0.3498276285037986
2013-07-01,4894.166666666667,11693664.0,4.08,1.25,Composite,374400,-0.06384333186892169,-0.05394041481351125,-0.5205277808515597,-0.3498276285037986
2013-08-01,4894.166666666667,11693664.0,4.14,1.25,Composite,376400,-0.06384333186892169,-0.05394041481351125,-0.45708703469665124,-0.3498276285037986
2013-09-01,4894.166666666667,11693664.0,4.33,1.25,Composite,378600,-0.06384333186892169,-0.05394041481351125,-0.25619133853943954,-0.3498276285037986
2013-10-01,4894.166666666667,11736532.33333333,4.4,1.25,Composite,380900,-0.06384333186892169,0.012887077414807675,-0.18217713469204558,-0.3498276285037986
2013-11-01,4894.166666666667,11736532.33333333,4.39,1.25,Composite,383100,-0.06384333186892169,0.012887077414807675,-0.1927505923845311,-0.3498276285037986
2013-12-01,4894.166666666667,11736532.33333333,4.39,1.25,Composite,384800,-0.06384333186892169,0.012887077414807675,-0.1927505923845311,-0.3498276285037986
2014-01-01,4910.833333333333,11749007.66666667,4.38,1.25,Composite,386700,0.011224214463595358,0.0323348883408097,-0.20332405007701568,-0.3498276285037986
2014-02-01,4910.833333333333,11749007.66666667,4.32,1.25,Composite,388000,0.011224214463595358,0.0323348883408097,-0.2667647962319241,-0.3498276285037986
2014-03-01,4910.833333333333,11749007.66666667,4.16,1.25,Composite,388600,0.011224214463595358,0.0323348883408097,-0.43594011931168114,-0.3498276285037986
2014-04-01,4910.833333333333,11773513.33333333,4.02,1.25,Composite,389600,0.011224214463595358,0.07053679920079518,-0.5839685270064691,-0.3498276285037986
2014-05-01,4910.833333333333,11773513.33333333,4.02,1.25,Composite,390900,0.011224214463595358,0.07053679920079518,-0.5839685270064691,-0.3498276285037986
2014-06-01,4910.833333333333,11773513.33333333,4.0,1.25,Composite,392700,0.011224214463595358,0.07053679920079518,-0.6051154423914382,-0.3498276285037986
2014-07-01,4910.833333333333,11811355.33333333,4.01,1.25,Composite,394400,0.011224214463595358,0.1295287348386995,-0.5945419846989536,-0.3498276285037986
2014-08-01,4910.833333333333,11811355.33333333,4.01,1.25,Composite,396600,0.011224214463595358,0.1295287348386995,-0.5945419846989536,-0.3498276285037986
2014-09-01,4910.833333333333,11811355.33333333,4.02,1.25,Composite,399100,0.011224214463595358,0.1295287348386995,-0.5839685270064691,-0.3498276285037986
2014-10-01,4910.833333333333,11851768.33333333,4.0,1.25,Composite,402000,0.011224214463595358,0.19252860521908707,-0.6051154423914382,-0.3498276285037986
2014-11-01,4910.833333333333,11851768.33333333,4.0,1.25,Composite,405000,0.011224214463595358,0.19252860521908707,-0.6051154423914382,-0.3498276285037986
2014-12-01,4910.833333333333,11851768.33333333,3.98,1.25,Composite,407400,0.011224214463595358,0.19252860521908707,-0.6262623577764078,-0.3498276285037986
2015-01-01,4960.0,11857014.33333333,3.96,1.0,Composite,409200,0.23267347614453004,0.20070660041903546,-0.6474092731613774,-0.5479684804205842
2015-02-01,4960.0,11857014.33333333,3.91,1.0,Composite,410600,0.23267347614453004,0.20070660041903546,-0.7002765616238014,-0.5479684804205842
2015-03-01,4960.0,11857014.33333333,3.84,1.0,Composite,412900,0.23267347614453004,0.20070660041903546,-0.7742907654711952,-0.5479684804205842
2015-04-01,4960.0,11868911.33333333,3.76,1.0,Composite,415500,0.23267347614453004,0.21925284687229235,-0.8588784270110738,-0.5479684804205842
2015-05-01,4960.0,11868911.33333333,3.74,1.0,Composite,418500,0.23267347614453004,0.21925284687229235,-0.8800253423960429,-0.5479684804205842
2015-06-01,4960.0,11868911.33333333,3.72,1.0,Composite,422700,0.23267347614453004,0.21925284687229235,-0.9011722577810126,-0.5479684804205842
2015-07-01,4960.0,11901499.33333333,3.71,0.75,Composite,427200,0.23267347614453004,0.2700543161014035,-0.9117457154734976,-0.7461093323373699
2015-08-01,4960.0,11901499.33333333,3.71,0.75,Composite,432000,0.23267347614453004,0.2700543161014035,-0.9117457154734976,-0.7461093323373699
2015-09-01,4960.0,11901499.33333333,3.71,0.75,Composite,436500,0.23267347614453004,0.2700543161014035,-0.9117457154734976,-0.7461093323373699
2015-10-01,4960.0,11941197.0,3.72,0.75,Composite,441000,0.23267347614453004,0.3319390525575941,-0.9011722577810126,-0.7461093323373699
2015-11-01,4960.0,11941197.0,3.72,0.75,Composite,445600,0.23267347614453004,0.3319390525575941,-0.9011722577810126,-0.7461093323373699
2015-12-01,4960.0,11941197.0,3.75,0.75,Composite,450100,0.23267347614453004,0.3319390525575941,-0.8694518847035584,-0.7461093323373699
2016-01-01,4967.5,11957161.33333333,3.76,0.75,Composite,455800,0.2664538719941639,0.35682586944100053,-0.8588784270110738,-0.7461093323373699
2016-02-01,4967.5,11957161.33333333,3.75,0.75,Composite,462200,0.2664538719941639,0.35682586944100053,-0.8694518847035584,-0.7461093323373699
2016-03-01,4967.5,11957161.33333333,3.73,0.75,Composite,468700,0.2664538719941639,0.35682586944100053,-0.890598800088528,-0.7461093323373699
2016-04-01,4967.5,11990135.66666667,3.7,0.75,Composite,476600,0.2664538719941639,0.40822959413058274,-0.9223191731659822,-0.7461093323373699
2016-05-01,4967.5,11990135.66666667,3.67,0.75,Composite,485700,0.2664538719941639,0.40822959413058274,-0.9540395462434369,-0.7461093323373699
2016-06-01,4967.5,11990135.66666667,3.66,0.75,Composite,494000,0.2664538719941639,0.40822959413058274,-0.9646130039359214,-0.7461093323373699
2016-07-01,4967.5,12036934.33333333,3.67,0.75,Composite,501400,0.2664538719941639,0.4811840873375848,-0.9540395462434369,-0.7461093323373699
2016-08-01,4967.5,12036934.33333333,3.68,0.75,Composite,506600,0.2664538719941639,0.4811840873375848,-0.9434660885509518,-0.7461093323373699
2016-09-01,4967.5,12036934.33333333,3.67,0.75,Composite,511100,0.2664538719941639,0.4811840873375848,-0.9540395462434369,-0.7461093323373699
2016-10-01,4967.5,12085807.0,3.68,0.75,Composite,513900,0.2664538719941639,0.5573717414376042,-0.9434660885509518,-0.7461093323373699
